experiment,model,label,precision,recall,f1_score,support
combined_base,LogisticRegression,DF,0.8107344632768362,0.7863013698630137,0.7983310152990264,365.0
combined_base,LogisticRegression,FW,0.779467680608365,0.8471074380165289,0.8118811881188119,242.0
combined_base,LogisticRegression,GK,0.9864864864864865,1.0,0.9931972789115646,73.0
combined_base,LogisticRegression,MF,0.6724137931034483,0.6478405315614618,0.6598984771573604,301.0
combined_base,LogisticRegression,macro avg,0.812275605868784,0.8203123348602511,0.8158269898716909,981.0
combined_base,LogisticRegression,weighted avg,0.7736588410203069,0.7747196738022426,0.773699195814278,981.0
combined_base,RandomForest,DF,0.8186666666666667,0.8410958904109589,0.8297297297297297,365.0
combined_base,RandomForest,FW,0.7565543071161048,0.8347107438016529,0.793713163064833,242.0
combined_base,RandomForest,GK,0.9864864864864865,1.0,0.9931972789115646,73.0
combined_base,RandomForest,MF,0.7056603773584905,0.6212624584717608,0.6607773851590106,301.0
combined_base,RandomForest,macro avg,0.8168419594069372,0.8242672731710932,0.8193543892162845,981.0
combined_base,RandomForest,weighted avg,0.7811587795655962,0.7838939857288482,0.7811695526059607,981.0
combined_base,ExtraTrees,DF,0.7877237851662404,0.8438356164383561,0.8148148148148148,365.0
combined_base,ExtraTrees,FW,0.7571428571428571,0.8760330578512396,0.8122605363984674,242.0
combined_base,ExtraTrees,GK,0.9733333333333334,1.0,0.9864864864864865,73.0
combined_base,ExtraTrees,MF,0.7276595744680852,0.5681063122923588,0.6380597014925373,301.0
combined_base,ExtraTrees,macro avg,0.811464887527629,0.8219937466454886,0.8129053847980765,981.0
combined_base,ExtraTrees,weighted avg,0.7755623020004854,0.7787971457696228,0.7727257297437348,981.0
combined_base,HistGradientBoosting,DF,0.821917808219178,0.821917808219178,0.821917808219178,365.0
combined_base,HistGradientBoosting,FW,0.793233082706767,0.871900826446281,0.8307086614173228,242.0
combined_base,HistGradientBoosting,GK,1.0,1.0,1.0,73.0
combined_base,HistGradientBoosting,MF,0.7472924187725631,0.6877076411960132,0.7162629757785467,301.0
combined_base,HistGradientBoosting,macro avg,0.840610827424627,0.8453815689653681,0.8422223613537619,981.0
combined_base,HistGradientBoosting,weighted avg,0.8051961509333121,0.8063200815494393,0.8049201343245002,981.0
detailed_2024_2025,LogisticRegression,DF,0.9505494505494505,0.9301075268817204,0.9402173913043478,186.0
detailed_2024_2025,LogisticRegression,FW,0.824,0.8583333333333333,0.8408163265306122,120.0
detailed_2024_2025,LogisticRegression,GK,1.0,1.0,1.0,38.0
detailed_2024_2025,LogisticRegression,MF,0.8410596026490066,0.8355263157894737,0.8382838283828383,152.0
detailed_2024_2025,LogisticRegression,macro avg,0.9039022632996143,0.9059917940011317,0.9048293865544497,496.0
detailed_2024_2025,LogisticRegression,weighted avg,0.8901678576710621,0.8891129032258065,0.8895111610493418,496.0
detailed_2024_2025,RandomForest,DF,0.9521276595744681,0.9623655913978495,0.9572192513368984,186.0
detailed_2024_2025,RandomForest,FW,0.7762237762237763,0.925,0.844106463878327,120.0
detailed_2024_2025,RandomForest,GK,1.0,1.0,1.0,38.0
detailed_2024_2025,RandomForest,MF,0.9133858267716536,0.7631578947368421,0.8315412186379928,152.0
detailed_2024_2025,RandomForest,macro avg,0.9104343156424746,0.912630871533673,0.9082167334633046,496.0
detailed_2024_2025,RandomForest,weighted avg,0.9013654102762009,0.8951612903225806,0.8946165759012848,496.0
detailed_2024_2025,ExtraTrees,DF,0.9179487179487179,0.9623655913978495,0.9396325459317585,186.0
detailed_2024_2025,ExtraTrees,FW,0.7583892617449665,0.9416666666666667,0.8401486988847584,120.0
detailed_2024_2025,ExtraTrees,GK,1.0,1.0,1.0,38.0
detailed_2024_2025,ExtraTrees,MF,0.9210526315789473,0.6907894736842105,0.7894736842105263,152.0
detailed_2024_2025,ExtraTrees,macro avg,0.899347652818158,0.8987054329371817,0.8923137322567609,496.0
detailed_2024_2025,ExtraTrees,weighted avg,0.8865830099755192,0.8770161290322581,0.8741723738094317,496.0
detailed_2024_2025,HistGradientBoosting,DF,0.9481865284974094,0.9838709677419355,0.9656992084432717,186.0
detailed_2024_2025,HistGradientBoosting,FW,0.8195488721804511,0.9083333333333333,0.8616600790513834,120.0
detailed_2024_2025,HistGradientBoosting,GK,1.0,0.9736842105263158,0.9866666666666667,38.0
detailed_2024_2025,HistGradientBoosting,MF,0.9172932330827067,0.8026315789473685,0.856140350877193,152.0
detailed_2024_2025,HistGradientBoosting,macro avg,0.9212571584401419,0.9171300226372383,0.9175415762596287,496.0
detailed_2024_2025,HistGradientBoosting,weighted avg,0.9115667951426284,0.9092741935483871,0.9085603405711316,496.0
