task,experiment,model,holdout_accuracy,holdout_macro_f1,holdout_mf_recall,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_mf_recall_mean,cv_mf_recall_std
classification,combined_base,HistGradientBoosting,0.8063200815494393,0.8422223613537619,0.6877076411960132,0.809260022051634,0.014513857698075743,0.8410369705396705,0.011377958172271394,0.69259862269257,0.031638856117685014
classification,combined_base,RandomForest,0.7838939857288482,0.8193543892162845,0.6212624584717608,0.7809047411013335,0.008271662006439928,0.8164267954676679,0.006316415133158809,0.5969571626586874,0.020939803879994057
classification,combined_base,LogisticRegression,0.7747196738022426,0.8158269898716909,0.6478405315614618,0.7880453098670661,0.021432936881404914,0.8235852146082093,0.0162496253818252,0.6613979890431454,0.04560026960429894
classification,combined_base,ExtraTrees,0.7787971457696228,0.8129053847980765,0.5681063122923588,0.7598928623437142,0.013178030475432532,0.7941713908335833,0.011435072656576907,0.5086334734109261,0.036369497214060506
classification,detailed_2024_2025,HistGradientBoosting,0.9092741935483871,0.9175415762596287,0.8026315789473685,0.9002508960573478,0.012733594403278784,0.9112608994604028,0.01060508287735271,0.8072673405367723,0.043784294717759666
classification,detailed_2024_2025,RandomForest,0.8951612903225806,0.9082167334633046,0.7631578947368421,0.8836982730531119,0.020434622003439623,0.8986597147249927,0.018795462652984693,0.7571192052980132,0.0489253664812052
classification,detailed_2024_2025,LogisticRegression,0.8891129032258065,0.9048293865544497,0.8355263157894737,0.8865143369175627,0.008162788937877884,0.9016669736287157,0.007207845240964519,0.8033548274660159,0.026751362140011805
classification,detailed_2024_2025,ExtraTrees,0.8770161290322581,0.8923137322567609,0.6907894736842105,0.8780392636037797,0.0173668874912501,0.893949577105929,0.01595939267373978,0.7426280934123387,0.0560162960522411
