task,experiment,model,target_class,feature,view_type,value,rank
classification,combined_base,LogisticRegression,MF,PrgP,coefficient,1.2100595730390014,5
classification,combined_base,LogisticRegression,MF,Squad_Chelsea,coefficient,-0.8729916938072974,6
classification,combined_base,LogisticRegression,MF,Nation_CHI,coefficient,-0.8642699417228633,7
classification,combined_base,LogisticRegression,MF,Squad_Paris S-G,coefficient,-0.8186830156134807,8
classification,combined_base,LogisticRegression,MF,Squad_Luton Town,coefficient,0.8133840878111264,9
classification,combined_base,LogisticRegression,MF,xG_per90,coefficient,0.788629847379101,10
classification,combined_base,LogisticRegression,MF,Squad_RB Leipzig,coefficient,0.7596526638857064,11
classification,combined_base,LogisticRegression,MF,Squad_Liverpool,coefficient,-0.7586178917078789,12
classification,combined_base,LogisticRegression,MF,PKatt,coefficient,-0.7574749425530473,13
classification,combined_base,LogisticRegression,MF,Squad_Crystal Palace,coefficient,0.7512104437235775,14
classification,combined_base,LogisticRegression,MF,Nation_BFA,coefficient,-0.7400818592513636,15
classification,combined_base,LogisticRegression,MF,Nation_ZIM,coefficient,0.7271674489758834,16
classification,combined_base,LogisticRegression,MF,start_rate,coefficient,-0.7180804026438612,17
classification,combined_base,LogisticRegression,MF,Squad_Granada,coefficient,0.7074829262852765,18
classification,combined_base,LogisticRegression,MF,MP,coefficient,0.7011396545816112,19
classification,combined_base,LogisticRegression,MF,Squad_Monza,coefficient,0.6768511159893995,20
classification,combined_base,RandomForest,__global__,PrgR_per90,importance,0.09168045766787901,1
classification,combined_base,RandomForest,__global__,PrgP_per90,importance,0.08089726165168812,2
classification,combined_base,RandomForest,__global__,xG_per90,importance,0.06543562525818475,3
classification,combined_base,RandomForest,__global__,PrgP,importance,0.061526452879801345,4
classification,combined_base,RandomForest,__global__,npxG+xAG_per90,importance,0.054702747978957675,5
classification,combined_base,RandomForest,__global__,npxG_per90,importance,0.05417690645828272,6
classification,combined_base,RandomForest,__global__,PrgR,importance,0.05383609814660523,7
classification,combined_base,RandomForest,__global__,PrgC,importance,0.04883709378189584,8
classification,combined_base,RandomForest,__global__,PrgC_per90,importance,0.046851942428349315,9
classification,combined_base,RandomForest,__global__,npxG,importance,0.03483848665821953,10
classification,combined_base,RandomForest,__global__,npxG+xAG,importance,0.031222572844586002,11
classification,combined_base,RandomForest,__global__,start_rate,importance,0.03044623331388545,12
classification,combined_base,RandomForest,__global__,xG,importance,0.030271692582039867,13
classification,combined_base,RandomForest,__global__,G+A_per90,importance,0.02569547808861008,14
classification,combined_base,RandomForest,__global__,xAG_per90,importance,0.025096877900818607,15
