Player,Nation,Squad,Comp,Pos,season,source_file,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,start_rate
Lesley Ugochukwu,FRA,Chelsea,Premier League,MF,2023_2024,top5-players.csv,19.0,2004.0,12,3,301,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,8.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0,0.030303030303030307,0.030303030303030307,2.4242424242424243,5.151515151515151,0.9090909090909092,0.25
Sven Ulreich,GER,Bayern Munich,Bundesliga,GK,2023_2024,top5-players.csv,34.0,1988.0,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Samuel Umtiti,FRA,Lille,Ligue 1,DF,2023_2024,top5-players.csv,29.0,1993.0,6,2,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8095238095238093,0.0,0.3333333333333333
Enes Ünal,TUR,Bournemouth,Premier League,FW,2023_2024,top5-players.csv,26.0,1997.0,16,2,328,3.6,2,2,4,2,0,0,1,0,2.9,2.9,1.0,3.9,4.0,7.0,28.0,0.5555555555555556,0.5555555555555556,1.1111111111111112,0.5555555555555556,0.0,0.0,0.2777777777777778,0.0,0.8055555555555555,0.8055555555555555,0.2777777777777778,1.0833333333333333,1.1111111111111112,1.9444444444444444,7.777777777777778,0.125
Enes Ünal,TUR,Getafe,La Liga,FW,2023_2024,top5-players.csv,26.0,1997.0,3,1,140,1.6,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,2.0,1.0,7.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.25,0.3125,1.25,0.625,4.375,0.3333333333333333
Deniz Undav,GER,Stuttgart,Bundesliga,FW,2023_2024,top5-players.csv,27.0,1996.0,30,23,2089,23.2,18,10,28,18,0,1,5,0,15.0,14.3,6.5,20.8,45.0,120.0,182.0,0.7758620689655172,0.4310344827586207,1.206896551724138,0.7758620689655172,0.0,0.04310344827586207,0.21551724137931036,0.0,0.646551724137931,0.6163793103448276,0.2801724137931035,0.896551724137931,1.9396551724137931,5.172413793103448,7.844827586206897,0.7666666666666667
Dayot Upamecano,FRA,Bayern Munich,Bundesliga,DF,2023_2024,top5-players.csv,24.0,1998.0,25,19,1762,19.6,1,0,1,1,0,0,3,1,1.7,1.7,0.5,2.1,28.0,137.0,10.0,0.0510204081632653,0.0,0.0510204081632653,0.0510204081632653,0.0,0.0,0.1530612244897959,0.0510204081632653,0.086734693877551,0.086734693877551,0.02551020408163265,0.10714285714285714,1.4285714285714284,6.989795918367347,0.5102040816326531,0.76
Kacper Urbanski,POL,Bologna,Serie A,MF,2023_2024,top5-players.csv,18.0,2004.0,22,9,926,10.3,0,1,1,0,0,0,2,0,1.1,1.1,0.8,1.9,25.0,31.0,78.0,0.0,0.0970873786407767,0.0970873786407767,0.0,0.0,0.0,0.1941747572815534,0.0,0.10679611650485438,0.10679611650485438,0.07766990291262135,0.1844660194174757,2.4271844660194173,3.0097087378640777,7.572815533980582,0.4090909090909091
Mark Uth,GER,Köln,Bundesliga,MF,2023_2024,top5-players.csv,31.0,1991.0,11,3,373,4.1,0,1,1,0,0,0,2,0,2.0,2.0,1.4,3.4,12.0,13.0,29.0,0.0,0.24390243902439027,0.24390243902439027,0.0,0.0,0.0,0.48780487804878053,0.0,0.48780487804878053,0.48780487804878053,0.34146341463414637,0.8292682926829269,2.9268292682926833,3.1707317073170733,7.073170731707318,0.2727272727272727
Myrto Uzuni,ALB,Granada,La Liga,FW,2023_2024,top5-players.csv,28.0,1995.0,34,28,2448,27.2,11,1,12,7,4,5,3,0,12.9,9.0,2.6,11.6,21.0,18.0,90.0,0.40441176470588236,0.03676470588235294,0.4411764705882353,0.2573529411764706,0.14705882352941177,0.18382352941176472,0.11029411764705882,0.0,0.474264705882353,0.33088235294117646,0.09558823529411765,0.4264705882352941,0.7720588235294118,0.6617647058823529,3.308823529411765,0.8235294117647058
Josha Vagnoman,GER,Stuttgart,Bundesliga,DF,2023_2024,top5-players.csv,22.0,2000.0,18,12,1183,13.1,2,2,4,2,0,0,2,0,1.3,1.3,1.3,2.6,19.0,33.0,67.0,0.15267175572519084,0.15267175572519084,0.3053435114503817,0.15267175572519084,0.0,0.0,0.15267175572519084,0.0,0.09923664122137406,0.09923664122137406,0.09923664122137406,0.19847328244274812,1.450381679389313,2.519083969465649,5.114503816793893,0.6666666666666666
Óscar Valentín,ESP,Rayo Vallecano,La Liga,MF,2023_2024,top5-players.csv,28.0,1994.0,34,32,2692,29.9,1,0,1,1,0,0,7,1,1.7,1.7,0.6,2.2,24.0,132.0,11.0,0.033444816053511704,0.0,0.033444816053511704,0.033444816053511704,0.0,0.0,0.23411371237458195,0.033444816053511704,0.0568561872909699,0.0568561872909699,0.020066889632107024,0.07357859531772576,0.802675585284281,4.414715719063546,0.3678929765886288,0.9411764705882353
Emanuele Valeri,ITA,Frosinone,Serie A,DF,2023_2024,top5-players.csv,24.0,1998.0,16,14,1178,13.1,0,1,1,0,0,0,3,0,0.9,0.9,2.4,3.3,38.0,41.0,61.0,0.0,0.07633587786259542,0.07633587786259542,0.0,0.0,0.0,0.22900763358778625,0.0,0.06870229007633588,0.06870229007633588,0.183206106870229,0.25190839694656486,2.900763358778626,3.1297709923664123,4.656488549618321,0.875
Martin Valjent,SVK,Mallorca,La Liga,DF,2023_2024,top5-players.csv,27.0,1995.0,28,28,2349,26.1,0,1,1,0,0,0,5,0,0.3,0.3,0.9,1.2,22.0,61.0,27.0,0.0,0.038314176245210725,0.038314176245210725,0.0,0.0,0.0,0.19157088122605362,0.0,0.011494252873563216,0.011494252873563216,0.034482758620689655,0.045977011494252866,0.842911877394636,2.337164750957854,1.0344827586206895,1.0
Jesús Vallejo,ESP,Granada,La Liga,DF,2023_2024,top5-players.csv,26.0,1997.0,3,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.6666666666666667,0.0,0.3333333333333333
