task,experiment,model,holdout_accuracy,holdout_macro_f1,holdout_mf_recall,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_mf_recall_mean,cv_mf_recall_std
classification,combined_base,HistGradientBoosting,0.800203873598369,0.8362544998618191,0.6877076411960132,0.8066094572385529,0.016221661681120707,0.8389214059366923,0.012593628262391628,0.6892719632131306,0.02818267005694784
classification,combined_base,RandomForest,0.7940876656472987,0.8298806623904185,0.6378737541528239,0.7817198194262415,0.009412671600680236,0.8169757945976392,0.007430050761858738,0.5996215704824975,0.021389545646224323
classification,combined_base,LogisticRegression,0.7737003058103975,0.81481216380753,0.6445182724252492,0.7878412282344129,0.02195783372038406,0.8233291197122246,0.01671571611411179,0.6607357373875162,0.04655881939936979
classification,combined_base,ExtraTrees,0.7665647298674821,0.8047453231083919,0.5514950166112956,0.7594842830098399,0.01537172719631469,0.7939570689593987,0.013379739103526527,0.5179379991639348,0.04187177898692429
classification,detailed_2024_2025,HistGradientBoosting,0.9153225806451613,0.9229265133283361,0.8092105263157895,0.9010589768654285,0.01313443370016735,0.9120596402779464,0.010957472991646115,0.8085831300104566,0.04392155869814682
classification,detailed_2024_2025,LogisticRegression,0.8850806451612904,0.9011975681308739,0.8223684210526315,0.8869183773216032,0.008795759212109318,0.9019399862990541,0.007732691883905148,0.8020390379923319,0.025933083339740634
classification,detailed_2024_2025,RandomForest,0.8850806451612904,0.9001488239319685,0.743421052631579,0.8832942326490715,0.019778208292037903,0.8978146279250521,0.017842291660757594,0.755803415824329,0.05358909083258865
classification,detailed_2024_2025,ExtraTrees,0.8830645161290323,0.8976209473437442,0.7105263157894737,0.881677256435321,0.01656710055480088,0.8970259253274282,0.015582041459668034,0.7558208434994771,0.04862057133107546
